category,source,sourceType,sourceId,Brand,Model
Televisions,Fry's Electronics,retailer,1,Atyme,490AM7UD
Televisions,Fry's Electronics,retailer,1,Samsung,UN65JS9500FXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN55F6300AFXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN55F6400AFXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN50JU6500FXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN60J6200
Televisions,Fry's Electronics,retailer,1,Samsung,UN55JU6500FXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN55JU6700FXZA
Televisions,Fry's Electronics,retailer,1,Panasonic,TC-65CX400U
Televisions,Fry's Electronics,retailer,1,Samsung,UN65F7100AFXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN40JU7500FXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN40EH5300FXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN32EH4003
Televisions,Fry's Electronics,retailer,1,Samsung,SAMSUNG UN39FH5000
Televisions,Fry's Electronics,retailer,1,TCL,TCL LE48FHDF3310
Televisions,Fry's Electronics,retailer,1,Samsung,UN65F9000FXZA
Televisions,Fry's Electronics,retailer,1,Sony,XBR65X930D
Televisions,Fry's Electronics,retailer,1,LG,55UB8500
Televisions,Fry's Electronics,retailer,1,Samsung,UN55KU6500
Televisions,Fry's Electronics,retailer,1,Vizio,E701i-A3
Televisions,Fry's Electronics,retailer,1,Samsung,RBUN55JU650DFXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN40JU6400
Televisions,Fry's Electronics,retailer,1,LG,43LJ5000
Televisions,Fry's Electronics,retailer,1,Proscan,PLDED3231A-RR
Televisions,Fry's Electronics,retailer,1,Sanyo,DP24E14B
Televisions,Fry's Electronics,retailer,1,TCL,23F3300
Televisions,Fry's Electronics,retailer,1,Element,ELEFW195
Televisions,Fry's Electronics,retailer,1,RCA,LED32G30RQD
Televisions,Fry's Electronics,retailer,1,RCA,LED32C45RQ
Televisions,Fry's Electronics,retailer,1,Samsung,UN40JU6500FXZA
Televisions,Fry's Electronics,retailer,1,LG,55LH5750
Televisions,Fry's Electronics,retailer,1,RCA,LED60B55R120Q
Televisions,Fry's Electronics,retailer,1,LG,65UH6030
Televisions,Fry's Electronics,retailer,1,Samsung,UN65KS8000FXZA
Televisions,Fry's Electronics,retailer,1,Sony,XBR55X930D
Televisions,Fry's Electronics,retailer,1,Samsung,UN65KS8500FXZA
Televisions,Fry's Electronics,retailer,1,Sony,KDL32R500C
Televisions,Fry's Electronics,retailer,1,Sony,XBR75X940D
Televisions,Fry's Electronics,retailer,1,Samsung,UN65KU6500
Televisions,Fry's Electronics,retailer,1,Sony,XBR55X850C
Televisions,Fry's Electronics,retailer,1,RCA,PRK65A65RQ
Televisions,Fry's Electronics,retailer,1,Sony,XBR65X850D
Televisions,Fry's Electronics,retailer,1,LG,55UH6550
Televisions,Fry's Electronics,retailer,1,Sony,XBR49X800D
Televisions,Fry's Electronics,retailer,1,Samsung,UN55KS8000FXZA
Televisions,Fry's Electronics,retailer,1,Panasonic,TC-55CX400U
Televisions,Fry's Electronics,retailer,1,KC,KC55V1
Televisions,Fry's Electronics,retailer,1,LG,32LJ500B
Televisions,Fry's Electronics,retailer,1,Samsung,UN60H7150AFXZA
Televisions,Fry's Electronics,retailer,1,Seiki,SE26HQ04
Televisions,Fry's Electronics,retailer,1,LG,22LN4500
Televisions,Fry's Electronics,retailer,1,RCA,RSLD50A45RQ
Televisions,Fry's Electronics,retailer,1,RCA,RLED50B45RQ
Televisions,Fry's Electronics,retailer,1,LG,49LJ5500
Televisions,Fry's Electronics,retailer,1,Samsung,UN65KU7500
Televisions,Fry's Electronics,retailer,1,LG,55LA9700
Televisions,Fry's Electronics,retailer,1,Samsung,UN75KS9000
Televisions,Fry's Electronics,retailer,1,LG,60UH8500
Televisions,Fry's Electronics,retailer,1,Samsung,UN65KU7000
Televisions,Fry's Electronics,retailer,1,Sony,XBR65X810C
Televisions,Fry's Electronics,retailer,1,Samsung,UN55HU6840FXZA
Televisions,Fry's Electronics,retailer,1,Samsung,UN48J5000BFXZA
Televisions,Fry's Electronics,retailer,1,LG,60UJ6540
Televisions,Fry's Electronics,retailer,1,Samsung,UN55MU6490FXZA
Televisions,Fry's Electronics,retailer,1,Sony,XBR43X800D
Televisions,Fry's Electronics,retailer,1,LG,55UH6030
