Brand,Model,category,source,sourceType,sourceId
Yamaha,RX-A1070BL ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,R-N303BL   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRX6400H  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSX832     ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRS640H   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,R-S700BL   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Sony,STRDH590   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TX-8270    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRX4400H  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,R-N301BL   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Sony,STRDH790   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Harman Kardon,AVR 1510S  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-V585BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,SCLX901    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRX8500H BK        ,Audio/Video Receiver,Fry's Electronics,retailer,1
Klipsch,1064561    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-V485BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Klipsch,1065137    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Teac,CRH101B    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TXSR383    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TXNR585    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-A870BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Sony,STRDN1080  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRX2400H  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSXLX303   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TX-RZ3100  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRX2500H  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRS940H   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-V685BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Harman Kardon,HK 3700    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Harman Kardon,HK 3770    ,Audio/Video Receiver,Fry's Electronics,retailer,1
